X,Y,ELEVATION
361388.34,2421283.911,43.658
361388.34,2421278.911,44.425
361388.34,2421273.911,46.298
361388.34,2421268.911,48.996
361388.34,2421263.911,51.412
361388.34,2421258.911,54.138
361388.34,2421253.911,56.842
361388.34,2421248.911,59.837
361388.34,2421243.911,58.62
361388.34,2421238.911,56.866
361388.34,2421233.911,57.162
361388.34,2421228.911,60.319
361388.34,2421223.911,60.329
361388.34,2421218.911,58.81
361388.34,2421213.911,58.836
361388.34,2421208.911,58.241
361388.34,2421203.911,58.782
361388.34,2421198.911,59.433
361388.34,2421193.911,60.167
361388.34,2421188.911,61.554
361388.34,2421183.911,62.889
361388.34,2421178.911,63.745
361388.34,2421173.911,63.907
361388.34,2421168.911,66.578
361393.34,2421283.911,43.459
361393.34,2421278.911,43.772
361393.34,2421273.911,45.883
361393.34,2421268.911,48.58
361393.34,2421263.911,50.865
361393.34,2421258.911,53.334
361393.34,2421253.911,56.136
361393.34,2421248.911,58.828
361393.34,2421243.911,59.007
361393.34,2421238.911,57.079
361393.34,2421233.911,56.619
361393.34,2421228.911,58.879
361393.34,2421223.911,59.165
361393.34,2421218.911,58.894
361393.34,2421213.911,58.517
361393.34,2421208.911,58.157
361393.34,2421203.911,58.398
361393.34,2421198.911,59.153
361393.34,2421193.911,60.336
361393.34,2421188.911,61.545
361393.34,2421183.911,61.943
361393.34,2421178.911,61.719
361393.34,2421173.911,61.827
361393.34,2421168.911,65.111
361393.34,2421163.911,67.655
361393.34,2421158.911,69.008
361393.34,2421153.911,70.426
361393.34,2421148.911,72.032
361393.34,2421143.911,73.386
361393.34,2421138.911,74.53
361393.34,2421133.911,75.555
361393.34,2421128.911,76.479
361393.34,2421123.911,77.507
361393.34,2421118.911,78.804
361393.34,2421113.911,79.896
361393.34,2421108.911,80.283
361393.34,2421103.911,80.929
361393.34,2421098.911,81.252
361393.34,2421093.911,81.48
361393.34,2421088.911,82.27
361393.34,2421083.911,82.836
361393.34,2421078.911,83.419
361393.34,2421073.911,84.12
361393.34,2421068.911,84.729
361393.34,2421063.911,85.573
361393.34,2421058.911,86.376
361393.34,2421053.911,86.984
361393.34,2421048.911,87.04
361393.34,2421043.911,86.756
361393.34,2421038.911,86.232
361393.34,2421033.911,86.072
361393.34,2421028.911,84.639
361393.34,2421023.911,82.44
361393.34,2421018.911,80.157
361393.34,2421013.911,77.596
361393.34,2421008.911,75.465
361393.34,2421003.911,73.052
361393.34,2420998.911,70.566
361393.34,2420993.911,68.26
361393.34,2420988.911,65.429
361393.34,2420983.911,62.768
361393.34,2420978.911,59.625
361393.34,2420973.911,57.333
361393.34,2420968.911,54.91
361393.34,2420963.911,50.688
361393.34,2420958.911,46.748
361393.34,2420953.911,45.168
361393.34,2420948.911,44.493
