No,Easting,Northing,ELEVATION
1,129197.055,2682491.652,10.555
2,129197.055,2682486.652,10.557
3,129197.055,2682481.652,10.571
4,129197.055,2682476.652,10.554
5,129197.055,2682471.652,10.574
6,129197.055,2682466.652,10.574
7,129197.055,2682461.652,10.622
8,129197.055,2682456.652,10.744
9,129197.055,2682451.652,10.62
10,129197.055,2682446.652,10.626
11,129197.055,2682441.652,10.623
12,129197.055,2682436.652,10.63
13,129197.055,2682431.652,10.642
14,129197.055,2682426.652,10.641
15,129197.055,2682421.652,10.643
16,129197.055,2682416.652,10.65
17,129197.055,2682411.652,10.644
18,129202.055,2682551.652,10.564
19,129202.055,2682546.652,10.567
20,129202.055,2682541.652,10.568
21,129202.055,2682536.652,10.569
22,129202.055,2682531.652,10.579
23,129202.055,2682526.652,10.561
24,129202.055,2682521.652,10.562
25,129202.055,2682516.652,10.555
26,129202.055,2682511.652,10.55
27,129202.055,2682506.652,10.549
28,129202.055,2682501.652,10.551
29,129202.055,2682496.652,10.549
30,129202.055,2682491.652,10.547
31,129202.055,2682486.652,10.553
32,129202.055,2682481.652,10.559
33,129202.055,2682476.652,10.566
34,129202.055,2682471.652,10.571
35,129202.055,2682466.652,10.561
36,129202.055,2682461.652,10.614
37,129202.055,2682456.652,10.708
38,129202.055,2682451.652,10.62
39,129202.055,2682446.652,10.611
40,129202.055,2682441.652,10.617
41,129202.055,2682436.652,10.622
42,129202.055,2682431.652,10.642
43,129202.055,2682426.652,10.644
44,129202.055,2682421.652,10.651
45,129202.055,2682416.652,10.68
46,129202.055,2682411.652,10.672
47,129202.055,2682406.652,10.694
48,129202.055,2682401.652,10.763
49,129202.055,2682396.652,11.026
50,129202.055,2682391.652,11.209
51,129202.055,2682386.652,11.279
52,129202.055,2682381.652,10.829
53,129202.055,2682376.652,11.299
54,129207.055,2682596.652,10.588
55,129207.055,2682591.652,10.595
56,129207.055,2682586.652,10.562
57,129207.055,2682581.652,10.568
58,129207.055,2682576.652,10.565
59,129207.055,2682571.652,10.55
60,129207.055,2682566.652,10.56
61,129207.055,2682561.652,10.559
62,129207.055,2682556.652,10.564
63,129207.055,2682551.652,10.568
64,129207.055,2682546.652,10.576
65,129207.055,2682541.652,10.582
66,129207.055,2682536.652,10.571
67,129207.055,2682531.652,10.577
68,129207.055,2682526.652,10.561
69,129207.055,2682521.652,10.549
70,129207.055,2682516.652,10.539
71,129207.055,2682511.652,10.547
72,129207.055,2682506.652,10.557
73,129207.055,2682501.652,10.561
74,129207.055,2682496.652,10.541
75,129207.055,2682491.652,10.558
76,129207.055,2682486.652,10.556
77,129207.055,2682481.652,10.566
78,129207.055,2682476.652,10.565
79,129207.055,2682471.652,10.576
80,129207.055,2682466.652,10.574
81,129207.055,2682461.652,10.591
82,129207.055,2682456.652,10.664
83,129207.055,2682451.652,10.613
84,129207.055,2682446.652,10.605
85,129207.055,2682441.652,10.618
86,129207.055,2682436.652,10.631
